ticker,return_score,risk_score,name
CRAK,0.10,0.20,CRAK — REPLACE SCORES
LITE,0.10,0.20,Lumentum — REPLACE SCORES
CAT,0.10,0.20,Caterpillar — REPLACE SCORES
GEV,0.10,0.20,GE Vernova — REPLACE SCORES
MU,0.10,0.20,Micron — REPLACE SCORES
RKLB,0.10,0.20,Rocket Lab — REPLACE SCORES
TSLA,0.10,0.20,Tesla — REPLACE SCORES
NVDA,0.10,0.20,NVIDIA — REPLACE SCORES
ETN,0.10,0.20,Eaton — REPLACE SCORES
ZS,0.10,0.20,Zscaler — REPLACE SCORES
BE,0.10,0.20,Bloom Energy — REPLACE SCORES
DELL,0.10,0.20,Dell — REPLACE SCORES
MRVL,0.10,0.20,Marvell — REPLACE SCORES
