median_income,median_house_value
8.3252,452600.0
8.3014,358500.0
7.2574,352100.0
5.6431,341300.0
3.8462,342200.0
4.0368,269700.0
3.6591,299200.0
3.12,241400.0
2.0804,226700.0
3.6912,261100.0
3.2031,281500.0
3.2705,241800.0
3.075,213500.0
2.6736,191300.0
1.9167,159200.0
2.125,140000.0
2.775,152500.0
2.1202,155500.0
1.9911,158700.0
2.6033,162900.0
1.3578,147500.0
1.7135,159800.0
1.725,113900.0
2.1806,99700.0
2.6,132600.0
2.4038,107500.0
2.4597,93800.0
1.808,105500.0
1.6424,108900.0
1.6875,132000.0
2.6768,122300.0
2.714,140900.0
2.2,140900.0
1.5,122300.0
2.5,132000.0
2.3,140900.0
2.1,122300.0
1.9,132000.0
2.0,140900.0
2.4,122300.0
