id,risk,cost,label
B0000,0.054760,0.011000,synthetic
B0001,0.029252,0.018928,synthetic
B0002,0.061553,0.037068,synthetic
B0003,0.072453,0.013478,synthetic
B0004,0.039535,0.011192,synthetic
B0005,0.040303,0.029085,synthetic
B0006,0.011858,0.017954,synthetic
B0007,0.050506,0.026685,synthetic
B0008,0.231445,0.361154,synthetic
B0009,0.250034,0.488212,synthetic
B0010,0.546902,0.199673,synthetic
B0011,0.948899,0.950714,synthetic
B0012,0.207694,0.089766,synthetic
B0013,0.185665,0.950714,synthetic
B0014,0.650888,0.156019,synthetic
B0015,0.156019,0.650888,synthetic
B0016,0.440153,0.122038,synthetic
B0017,0.495177,0.034389,synthetic
B0018,0.909320,0.258780,synthetic
B0019,0.662522,0.311711,synthetic
B0020,0.520068,0.546710,synthetic
B0021,0.184854,0.969585,synthetic
B0022,0.775133,0.939499,synthetic
B0023,0.894827,0.597900,synthetic
B0024,0.921874,0.088492,synthetic
B0025,0.195983,0.045227,synthetic
B0026,0.325330,0.388677,synthetic
B0027,0.271349,0.828738,synthetic
B0028,0.356753,0.280965,synthetic
B0029,0.542696,0.140924,synthetic
B0030,0.802197,0.074551,synthetic
B0031,0.986887,0.772245,synthetic
B0032,0.198716,0.005522,synthetic
B0033,0.815461,0.706857,synthetic
B0034,0.729007,0.771270,synthetic
B0035,0.074045,0.358466,synthetic
B0036,0.115869,0.863103,synthetic
B0037,0.623298,0.330898,synthetic
B0038,0.063558,0.310982,synthetic
B0039,0.325183,0.729606,synthetic
B0040,0.637557,0.887213,synthetic
B0041,0.472215,0.119594,synthetic
B0042,0.713245,0.760785,synthetic
B0043,0.561277,0.770967,synthetic
B0044,0.493796,0.522733,synthetic
B0045,0.427541,0.025419,synthetic
B0046,0.107891,0.031429,synthetic
B0047,0.636410,0.314356,synthetic
B0048,0.508571,0.907566,synthetic
B0049,0.249292,0.410383,synthetic
B0050,0.755551,0.228798,synthetic
B0051,0.076980,0.289751,synthetic
B0052,0.161221,0.879978,synthetic
B0053,0.674491,0.449949,synthetic
B0054,0.994394,0.677945,synthetic
B0055,0.650816,0.116690,synthetic
B0056,0.907044,0.002251,synthetic
B0057,0.266328,0.072234,synthetic
B0058,0.721229,0.932557,synthetic
B0059,0.487638,0.809860,synthetic
B0060,0.497491,0.051478,synthetic
B0061,0.781200,0.852411,synthetic
B0062,0.165267,0.914596,synthetic
B0063,0.623952,0.292795,synthetic
B0064,0.240084,0.100561,synthetic
B0065,0.950416,0.890267,synthetic
B0066,0.978799,0.811953,synthetic
B0067,0.171006,0.816224,synthetic
B0068,0.274074,0.431704,synthetic
B0069,0.940030,0.817649,synthetic
B0070,0.336112,0.110377,synthetic
B0071,0.227935,0.427108,synthetic
B0072,0.818015,0.860731,synthetic
B0073,0.006952,0.510747,synthetic
B0074,0.417411,0.222108,synthetic
B0075,0.119865,0.337615,synthetic
B0076,0.942910,0.323203,synthetic
B0077,0.518790,0.703019,synthetic
B0078,0.363630,0.971782,synthetic
B0079,0.962447,0.251782,synthetic
B0080,0.497249,0.300878,synthetic
B0081,0.284840,0.036887,synthetic
B0082,0.609564,0.502679,synthetic
B0083,0.051479,0.278646,synthetic
B0084,0.908266,0.239562,synthetic
B0085,0.144895,0.489453,synthetic
B0086,0.985650,0.242055,synthetic
B0087,0.672136,0.761620,synthetic
B0088,0.237637,0.728216,synthetic
B0089,0.367783,0.632619,synthetic
B0090,0.633648,0.535775,synthetic
B0091,0.090290,0.835302,synthetic
B0092,0.320780,0.186519,synthetic
B0093,0.040775,0.590863,synthetic
B0094,0.677564,0.016588,synthetic
B0095,0.512093,0.226496,synthetic
