id,p99_ms,error_rate,label
T0000,14.05,0.001164,synthetic
T0001,23.48,0.000985,synthetic
T0002,15.16,0.001216,synthetic
T0003,8.69,0.001073,synthetic
T0004,17.60,0.001607,synthetic
T0005,6.88,0.000676,synthetic
T0006,6.81,0.001638,synthetic
T0007,18.87,0.000180,synthetic
T0008,24.64,0.001933,synthetic
T0009,18.08,0.001270,synthetic
T0010,95.60,0.001735,synthetic
T0011,273.62,0.003918,synthetic
T0012,156.33,0.012450,synthetic
T0013,412.07,0.028901,synthetic
T0014,88.21,0.005612,synthetic
T0015,334.55,0.019334,synthetic
T0016,201.89,0.007845,synthetic
T0017,467.12,0.041223,synthetic
T0018,72.44,0.003567,synthetic
T0019,298.76,0.015678,synthetic
T0020,145.23,0.009012,synthetic
T0021,389.01,0.032456,synthetic
T0022,112.67,0.004789,synthetic
T0023,256.34,0.018901,synthetic
T0024,178.90,0.006234,synthetic
T0025,423.56,0.027890,synthetic
T0026,67.12,0.002345,synthetic
T0027,312.45,0.014567,synthetic
T0028,189.78,0.008901,synthetic
T0029,445.23,0.035678,synthetic
T0030,98.34,0.004123,synthetic
T0031,267.89,0.016789,synthetic
T0032,156.01,0.007234,synthetic
T0033,401.23,0.029012,synthetic
T0034,123.45,0.005456,synthetic
T0035,334.67,0.021345,synthetic
T0036,201.12,0.009567,synthetic
T0037,456.78,0.038901,synthetic
T0038,89.01,0.003789,synthetic
T0039,278.90,0.017234,synthetic
T0040,167.34,0.008012,synthetic
T0041,412.56,0.031456,synthetic
T0042,134.78,0.006345,synthetic
T0043,345.01,0.022789,synthetic
T0044,212.45,0.010123,synthetic
T0045,478.90,0.042567,synthetic
T0046,76.23,0.002901,synthetic
T0047,301.56,0.015012,synthetic
T0048,178.12,0.007456,synthetic
T0049,434.67,0.033890,synthetic
T0050,145.89,0.005789,synthetic
T0051,367.23,0.024123,synthetic
T0052,223.45,0.011456,synthetic
T0053,489.01,0.045678,synthetic
T0054,91.34,0.003234,synthetic
T0055,289.78,0.016567,synthetic
T0056,156.90,0.008901,synthetic
T0057,401.23,0.030234,synthetic
T0058,112.67,0.004567,synthetic
T0059,323.45,0.019890,synthetic
T0060,189.01,0.009123,synthetic
T0061,445.67,0.036456,synthetic
T0062,78.34,0.002678,synthetic
T0063,312.90,0.014901,synthetic
T0064,167.23,0.007345,synthetic
T0065,423.56,0.032789,synthetic
T0066,134.12,0.005012,synthetic
T0067,356.78,0.023456,synthetic
T0068,201.45,0.010789,synthetic
T0069,467.89,0.041123,synthetic
T0070,95.67,0.003567,synthetic
T0071,278.34,0.017890,synthetic
T0072,145.90,0.008234,synthetic
T0073,412.23,0.031567,synthetic
T0074,123.56,0.004901,synthetic
T0075,345.01,0.022234,synthetic
T0076,189.78,0.009456,synthetic
T0077,456.34,0.038789,synthetic
T0078,87.12,0.003012,synthetic
T0079,301.45,0.015345,synthetic
T0080,178.90,0.006678,synthetic
T0081,434.23,0.034012,synthetic
T0082,156.67,0.007901,synthetic
T0083,378.01,0.026345,synthetic
T0084,212.45,0.011678,synthetic
T0085,489.78,0.043901,synthetic
T0086,72.34,0.002456,synthetic
T0087,289.90,0.016789,synthetic
T0088,167.23,0.008123,synthetic
T0089,401.56,0.029456,synthetic
T0090,134.01,0.005789,synthetic
T0091,356.78,0.023012,synthetic
T0092,201.45,0.010345,synthetic
T0093,467.12,0.040678,synthetic
T0094,98.90,0.003901,synthetic
T0095,312.34,0.018234,synthetic
T0096,189.67,0.009567,synthetic
T0097,445.01,0.035901,synthetic
T0098,123.56,0.006123,synthetic
T0099,367.89,0.025456,synthetic
T0100,234.12,0.012789,synthetic
T0101,478.45,0.044123,synthetic
T0102,81.23,0.002567,synthetic
T0103,298.67,0.017901,synthetic
T0104,156.34,0.007234,synthetic
T0105,423.90,0.033567,synthetic
T0106,145.01,0.005901,synthetic
T0107,378.56,0.026234,synthetic
T0108,212.89,0.011567,synthetic
T0109,456.23,0.039901,synthetic
T0110,89.67,0.003345,synthetic
T0111,312.34,0.018678,synthetic
T0112,178.01,0.008012,synthetic
T0113,434.56,0.034345,synthetic
T0114,167.90,0.006456,synthetic
T0115,389.23,0.027789,synthetic
T0116,223.45,0.012123,synthetic
T0117,489.78,0.045456,synthetic
T0118,76.12,0.002789,synthetic
T0119,301.45,0.015123,synthetic
T0120,189.67,0.009456,synthetic
T0121,445.01,0.036789,synthetic
T0122,134.56,0.005234,synthetic
T0123,367.90,0.024567,synthetic
T0124,201.23,0.010901,synthetic
T0125,478.67,0.042234,synthetic
T0126,95.34,0.003678,synthetic
T0127,323.01,0.019012,synthetic
T0128,156.78,0.007345,synthetic
T0129,412.45,0.031678,synthetic
T0130,123.90,0.004901,synthetic
T0131,356.23,0.022345,synthetic
T0132,189.56,0.009789,synthetic
T0133,467.12,0.039123,synthetic
T0134,87.45,0.003012,synthetic
T0135,298.90,0.016456,synthetic
T0136,167.34,0.008789,synthetic
T0137,434.01,0.033123,synthetic
T0138,145.67,0.005456,synthetic
T0139,378.23,0.025789,synthetic
T0140,212.56,0.011012,synthetic
T0141,489.90,0.044345,synthetic
T0142,78.34,0.002567,synthetic
T0143,312.78,0.017901,synthetic
T0144,178.12,0.007234,synthetic
T0145,445.56,0.035567,synthetic
T0146,156.01,0.006901,synthetic
T0147,389.45,0.028234,synthetic
T0148,223.90,0.012567,synthetic
T0149,478.23,0.043901,synthetic
T0150,91.67,0.003345,synthetic
T0151,334.12,0.020678,synthetic
T0152,189.56,0.008012,synthetic
T0153,456.90,0.037456,synthetic
T0154,134.34,0.005789,synthetic
T0155,367.78,0.026123,synthetic
T0156,201.12,0.010456,synthetic
T0157,489.45,0.041789,synthetic
T0158,98.90,0.003901,synthetic
T0159,323.56,0.019234,synthetic
T0160,167.23,0.007567,synthetic
T0161,412.78,0.032901,synthetic
T0162,145.01,0.006234,synthetic
T0163,378.67,0.027567,synthetic
T0164,212.34,0.011901,synthetic
T0165,467.90,0.040234,synthetic
T0166,85.56,0.003456,synthetic
T0167,301.23,0.016789,synthetic
T0168,178.90,0.008123,synthetic
T0169,445.12,0.034456,synthetic
T0170,156.45,0.005901,synthetic
T0171,389.78,0.029012,synthetic
T0172,223.01,0.012345,synthetic
T0173,478.56,0.043678,synthetic
T0174,92.34,0.003789,synthetic
T0175,334.90,0.021123,synthetic
T0176,189.67,0.009456,synthetic
T0177,456.23,0.038901,synthetic
T0178,134.78,0.006234,synthetic
T0179,367.12,0.025567,synthetic
T0180,201.45,0.010901,synthetic
T0181,489.01,0.042234,synthetic
T0182,99.56,0.004012,synthetic
T0183,323.90,0.019456,synthetic
T0184,167.34,0.007789,synthetic
T0185,412.67,0.033123,synthetic
T0186,145.12,0.006456,synthetic
T0187,378.90,0.028567,synthetic
T0188,212.56,0.012012,synthetic
T0189,467.23,0.041345,synthetic
T0190,86.78,0.003567,synthetic
T0191,301.45,0.017012,synthetic
T0192,178.12,0.008345,synthetic
T0193,445.90,0.035678,synthetic
T0194,156.67,0.006012,synthetic
T0195,389.34,0.029901,synthetic
T0196,223.78,0.012456,synthetic
T0197,478.01,0.044789,synthetic
T0198,93.56,0.003901,synthetic
T0199,334.23,0.021345,synthetic
T0200,189.90,0.009678,synthetic
T0201,456.45,0.039123,synthetic
T0202,134.01,0.006456,synthetic
T0203,367.78,0.026901,synthetic
T0204,201.67,0.011234,synthetic
T0205,489.34,0.043567,synthetic
T0206,100.12,0.004234,synthetic
T0207,323.56,0.019789,synthetic
T0208,167.90,0.008012,synthetic
T0209,412.34,0.033456,synthetic
T0210,145.78,0.006789,synthetic
T0211,378.12,0.028901,synthetic
T0212,212.90,0.012345,synthetic
T0213,467.56,0.041678,synthetic
T0214,87.23,0.003678,synthetic
T0215,301.90,0.017234,synthetic
T0216,178.56,0.008567,synthetic
T0217,445.23,0.035901,synthetic
T0218,156.90,0.006234,synthetic
T0219,389.67,0.030123,synthetic
