id,price,repair_days,label
L0000,92953.31,0.8,synthetic
L0001,106037.38,0.4,synthetic
L0002,101435.28,1.8,synthetic
L0003,82319.96,2.5,synthetic
L0004,81499.83,2.2,synthetic
L0005,82794.22,0.5,synthetic
L0006,96980.77,4.1,synthetic
L0007,84952.08,1.1,synthetic
L0008,105097.33,4.7,synthetic
L0009,103084.12,2.0,synthetic
L0010,783378.57,4.2,synthetic
L0011,700927.92,26.1,synthetic
L0012,200978.56,10.6,synthetic
L0013,315937.28,73.5,synthetic
L0014,226508.47,52.3,synthetic
L0015,547239.43,33.5,synthetic
L0016,540159.85,56.3,synthetic
L0017,497520.14,79.1,synthetic
L0018,185392.47,25.4,synthetic
L0019,359841.62,41.2,synthetic
L0020,612883.05,18.7,synthetic
L0021,278441.19,63.3,synthetic
L0022,445102.88,8.9,synthetic
L0023,721904.33,47.6,synthetic
L0024,133557.41,71.0,synthetic
L0025,398220.74,15.2,synthetic
L0026,665018.29,38.4,synthetic
L0027,254667.93,82.1,synthetic
L0028,589331.58,22.8,synthetic
L0029,412055.16,55.5,synthetic
L0030,177882.40,9.3,synthetic
L0031,733114.67,44.7,synthetic
L0032,291440.25,67.9,synthetic
L0033,508773.91,12.6,synthetic
L0034,624908.38,36.0,synthetic
L0035,349201.84,79.4,synthetic
L0036,471662.57,21.1,synthetic
L0037,198334.02,58.8,synthetic
L0038,756019.45,3.4,synthetic
L0039,267551.73,49.2,synthetic
L0040,581220.16,72.5,synthetic
L0041,404118.90,16.8,synthetic
L0042,139907.64,40.1,synthetic
L0043,692445.28,83.7,synthetic
L0044,318776.51,27.3,synthetic
L0045,553089.07,61.0,synthetic
L0046,225663.39,4.6,synthetic
L0047,787012.84,48.9,synthetic
L0048,361554.20,75.2,synthetic
L0049,478891.66,19.5,synthetic
L0050,144228.93,53.1,synthetic
L0051,619337.48,86.4,synthetic
L0052,302110.75,30.7,synthetic
L0053,535446.02,64.3,synthetic
L0054,211879.56,7.9,synthetic
L0055,768553.31,51.6,synthetic
L0056,387220.48,78.0,synthetic
L0057,493667.19,22.4,synthetic
L0058,160041.87,56.8,synthetic
L0059,645912.30,1.2,synthetic
L0060,279334.65,45.0,synthetic
L0061,566108.94,68.5,synthetic
L0062,334771.23,13.9,synthetic
L0063,521990.41,37.2,synthetic
L0064,188556.78,80.6,synthetic
L0065,701224.56,24.9,synthetic
L0066,256443.17,59.3,synthetic
L0067,589007.82,2.7,synthetic
L0068,412889.34,46.1,synthetic
L0069,175120.09,69.4,synthetic
L0070,754331.68,17.6,synthetic
L0071,298774.25,41.8,synthetic
L0072,533012.91,85.0,synthetic
L0073,221556.43,28.5,synthetic
L0074,677890.17,62.9,synthetic
L0075,365441.82,6.3,synthetic
L0076,491223.56,50.7,synthetic
L0077,149887.30,74.1,synthetic
L0078,712556.94,20.0,synthetic
L0079,287334.61,43.6,synthetic
L0080,558901.27,87.2,synthetic
L0081,203445.89,31.4,synthetic
L0082,645778.03,65.8,synthetic
L0083,371220.46,9.0,synthetic
L0084,499012.75,52.4,synthetic
L0085,156667.18,76.7,synthetic
L0086,723441.92,23.2,synthetic
L0087,312890.54,46.8,synthetic
L0088,567334.11,0.9,synthetic
L0089,234556.73,34.5,synthetic
L0090,689012.48,58.1,synthetic
L0091,398774.25,81.6,synthetic
L0092,145220.97,25.9,synthetic
L0093,601445.36,49.5,synthetic
L0094,278901.82,73.0,synthetic
L0095,512334.67,16.4,synthetic
L0096,189556.41,40.8,synthetic
L0097,734890.19,84.2,synthetic
L0098,356012.75,27.8,synthetic
L0099,478223.56,61.5,synthetic
L0100,167441.93,5.1,synthetic
L0101,690778.24,48.3,synthetic
L0102,301556.48,72.0,synthetic
L0103,545012.91,18.7,synthetic
L0104,212334.65,42.3,synthetic
L0105,678901.27,85.9,synthetic
L0106,389445.82,29.6,synthetic
L0107,501223.56,63.2,synthetic
L0108,156778.14,6.8,synthetic
L0109,712556.93,50.4,synthetic
L0110,298012.47,74.0,synthetic
L0111,534890.21,21.7,synthetic
L0112,223445.68,45.3,synthetic
L0113,667012.35,88.9,synthetic
L0114,378901.54,32.5,synthetic
L0115,490223.87,56.1,synthetic
L0116,145556.29,9.7,synthetic
L0117,701890.46,53.3,synthetic
L0118,287334.12,76.9,synthetic
L0119,523012.78,20.5,synthetic
L0120,201445.93,44.1,synthetic
L0121,656778.25,87.7,synthetic
L0122,367901.64,31.3,synthetic
L0123,479223.51,54.9,synthetic
L0124,134556.87,8.5,synthetic
L0125,690012.43,52.1,synthetic
L0126,276334.19,75.7,synthetic
L0127,512890.76,19.3,synthetic
L0128,198445.32,42.9,synthetic
L0129,645223.58,86.5,synthetic
L0130,356901.14,30.1,synthetic
L0131,468012.87,53.7,synthetic
L0132,123556.49,7.3,synthetic
L0133,678890.21,50.9,synthetic
L0134,265334.76,74.5,synthetic
L0135,501223.43,18.1,synthetic
L0136,187445.98,41.7,synthetic
L0137,634012.65,85.3,synthetic
L0138,345901.32,28.9,synthetic
L0139,457223.76,52.5,synthetic
L0140,112556.21,6.1,synthetic
L0141,667890.54,49.7,synthetic
L0142,254334.87,73.3,synthetic
L0143,490012.43,16.9,synthetic
L0144,176445.65,40.5,synthetic
L0145,623223.19,84.1,synthetic
L0146,334901.87,27.7,synthetic
L0147,446012.54,51.3,synthetic
L0148,101556.32,4.9,synthetic
L0149,656890.76,48.5,synthetic
L0150,243334.21,72.1,synthetic
L0151,479223.65,15.7,synthetic
L0152,165445.98,39.3,synthetic
L0153,612012.43,82.9,synthetic
L0154,323901.76,26.5,synthetic
L0155,435223.19,50.1,synthetic
L0156,190556.54,3.7,synthetic
L0157,645890.32,47.3,synthetic
L0158,232334.87,70.9,synthetic
L0159,468012.54,14.5,synthetic
L0160,154445.21,38.1,synthetic
L0161,601223.76,81.7,synthetic
L0162,312901.43,25.3,synthetic
L0163,424012.87,48.9,synthetic
L0164,179556.32,2.5,synthetic
L0165,634890.76,46.1,synthetic
L0166,221334.54,69.7,synthetic
L0167,457223.21,13.3,synthetic
L0168,143445.87,36.9,synthetic
L0169,590012.43,80.5,synthetic
L0170,301901.76,24.1,synthetic
L0171,413223.19,47.7,synthetic
L0172,168556.54,1.3,synthetic
L0173,623890.32,44.9,synthetic
L0174,210334.87,68.5,synthetic
L0175,446012.54,12.1,synthetic
L0176,132445.21,35.7,synthetic
L0177,579223.76,79.3,synthetic
L0178,290901.43,22.9,synthetic
L0179,402012.87,46.5,synthetic
L0180,157556.32,0.1,synthetic
L0181,612890.76,43.7,synthetic
L0182,199334.54,67.3,synthetic
L0183,435223.21,10.9,synthetic
L0184,121445.87,34.5,synthetic
L0185,568012.43,78.1,synthetic
L0186,279901.76,21.7,synthetic
L0187,391223.19,45.3,synthetic
L0188,146556.54,89.9,synthetic
L0189,601890.32,42.5,synthetic
L0190,188334.87,66.1,synthetic
L0191,424012.54,9.7,synthetic
L0192,110445.21,33.3,synthetic
L0193,557223.76,76.9,synthetic
L0194,268901.43,20.5,synthetic
L0195,380012.87,44.1,synthetic
L0196,135556.32,87.7,synthetic
L0197,590890.76,41.3,synthetic
L0198,177334.54,64.9,synthetic
L0199,413223.21,8.5,synthetic
L0200,199445.87,32.1,synthetic
L0201,546012.43,75.7,synthetic
L0202,257901.76,19.3,synthetic
L0203,369223.19,42.9,synthetic
L0204,124556.54,86.5,synthetic
L0205,579890.32,40.1,synthetic
L0206,166334.87,63.7,synthetic
L0207,402012.54,7.3,synthetic
L0208,188445.21,30.9,synthetic
L0209,535223.76,74.5,synthetic
L0210,246901.43,18.1,synthetic
L0211,358012.87,41.7,synthetic
L0212,113556.32,85.3,synthetic
L0213,568890.76,38.9,synthetic
L0214,155334.54,62.5,synthetic
L0215,391223.21,6.1,synthetic
L0216,177445.87,29.7,synthetic
L0217,524012.43,73.3,synthetic
L0218,235901.76,16.9,synthetic
L0219,347223.19,40.5,synthetic
